Index,Name,Emergency,5E+03,0E+00
266,L1_SingleJet44_BptxAND,0,1,1
267,L1_SingleJet48_BptxAND,0,0,1
268,L1_SingleJet56_BptxAND,0,1,1
269,L1_SingleJet60_BptxAND,0,1,1
270,L1_SingleJet64_BptxAND,0,0,1
271,L1_SingleJet72_BptxAND,0,0,1
272,L1_SingleJet80_BptxAND,0,0,1
282,L1_SingleJet8_Centrality_30_100_BptxAND,0,0,1
283,L1_SingleJet16_Centrality_30_100_BptxAND,0,0,1
284,L1_SingleJet24_Centrality_30_100_BptxAND,0,0,1
285,L1_SingleJet28_Centrality_30_100_BptxAND,0,0,1
286,L1_SingleJet32_Centrality_30_100_BptxAND,0,0,1
287,L1_SingleJet36_Centrality_30_100_BptxAND,0,0,1
288,L1_SingleJet40_Centrality_30_100_BptxAND,0,0,1
289,L1_SingleJet44_Centrality_30_100_BptxAND,0,1,1
290,L1_SingleJet48_Centrality_30_100_BptxAND,0,0,1
291,L1_SingleJet56_Centrality_30_100_BptxAND,0,1,1
292,L1_SingleJet60_Centrality_30_100_BptxAND,0,1,1
293,L1_SingleJet64_Centrality_30_100_BptxAND,0,0,1
295,L1_SingleJet8_Centrality_50_100_BptxAND,0,0,1
296,L1_SingleJet16_Centrality_50_100_BptxAND,0,0,1
297,L1_SingleJet24_Centrality_50_100_BptxAND,0,0,1
298,L1_SingleJet28_Centrality_50_100_BptxAND,0,5,1
299,L1_SingleJet32_Centrality_50_100_BptxAND,0,0,1
300,L1_SingleJet36_Centrality_50_100_BptxAND,0,0,1
301,L1_SingleJet40_Centrality_50_100_BptxAND,0,0,1
302,L1_SingleJet44_Centrality_50_100_BptxAND,0,1,1
303,L1_SingleJet48_Centrality_50_100_BptxAND,0,0,1
304,L1_SingleJet56_Centrality_50_100_BptxAND,0,1,1
305,L1_SingleJet60_Centrality_50_100_BptxAND,0,1,1
306,L1_SingleJet64_Centrality_50_100_BptxAND,0,0,1
319,L1_Centrality_0_0p5_BptxAND,0,1,1
320,L1_Centrality_0_1_BptxAND,0,1,1
344,L1_SingleEG3_BptxAND,0,0,1
345,L1_SingleEG5_BptxAND,0,0,1
346,L1_SingleEG7_BptxAND,0,61,1
347,L1_SingleEG12_BptxAND,0,1,1
348,L1_SingleEG15_BptxAND,0,1,1
349,L1_SingleEG21_BptxAND,0,1,1
350,L1_SingleEG30_BptxAND,0,1,1
354,L1_SingleIsoEG12_BptxAND,0,0,1
355,L1_SingleIsoEG15_BptxAND,0,0,1
356,L1_SingleIsoEG21_BptxAND,0,0,1
359,L1_SingleEG2_NotMinimumBiasHF2_AND_BptxAND,0,0,1
360,L1_SingleEG3_NotMinimumBiasHF2_AND_BptxAND,0,1,1
361,L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND,0,1,1
362,L1_SingleEG2_NotMinimumBiasHF2_AND_ZDC1nOR_BptxAND,0,0,0
363,L1_SingleEG3_Centrality_30_100_BptxAND,0,41,1
364,L1_SingleEG7_Centrality_30_100_BptxAND,0,11,1
365,L1_SingleEG15_Centrality_30_100_BptxAND,0,1,1
366,L1_SingleEG21_Centrality_30_100_BptxAND,0,1,1
398,L1_DoubleEG8_BptxAND,0,1,1
399,L1_DoubleEG10_BptxAND,0,1,1
401,L1_DoubleEG1_NotMinimumBiasHF2_AND_BptxAND,0,0,1
402,L1_DoubleEG2_NotMinimumBiasHF2_AND_BptxAND,0,1,1
403,L1_DoubleEG3_NotMinimumBiasHF2_AND_BptxAND,0,0,1
404,L1_DoubleEG5_NotMinimumBiasHF2_AND_BptxAND,0,1,1
