Index,Name,Emergency,Unprescaled,Default
237,L1_DoubleEG8_BptxAND,0,1,1
238,L1_DoubleEG10_BptxAND,0,1,1
243,L1_SingleIsoEG12_BptxAND,0,1,1
244,L1_SingleIsoEG15_BptxAND,0,1,1
245,L1_SingleIsoEG21_BptxAND,0,1,1
248,L1_SingleEG3_Centrality_30_100_BptxAND,0,1,1
249,L1_SingleEG7_Centrality_30_100_BptxAND,0,1,1
250,L1_SingleEG15_Centrality_30_100_BptxAND,0,1,1
251,L1_SingleEG21_Centrality_30_100_BptxAND,0,1,1
272,L1_SingleMuOpen_BptxAND,0,1,1
273,L1_SingleMu0_BptxAND,0,1,1
274,L1_SingleMu3_BptxAND,0,1,1
275,L1_SingleMu5_BptxAND,0,1,1
276,L1_SingleMu7_BptxAND,0,1,1
277,L1_DoubleMuOpen_BptxAND,0,1,1
278,L1_DoubleMuOpen_OS_BptxAND,0,1,1
279,L1_DoubleMuOpen_SS_BptxAND,0,1,1
280,L1_DoubleMu0_BptxAND,0,1,1
281,L1_DoubleMu10_BptxAND,0,1,1
282,L1_DoubleMuOpen_MaxDr3p5_BptxAND,0,1,1
283,L1_DoubleMuSQ_BptxAND,0,1,1
284,L1_DoubleMu0_MaxDr3p5_BptxAND,0,1,1
285,L1_DoubleMuSQ_MaxDr3p5_BptxAND,0,1,1
286,L1_DoubleMuOpen_MaxDr3p5M0to7_BptxAND,0,1,1
287,L1_DoubleMu0_MaxDr3p5M0to7_BptxAND,0,1,1
288,L1_DoubleMuSQ_MaxDr3p5M0to7_BptxAND,0,1,1
292,L1_SingleMu3Open_BptxAND,0,1,1
293,L1_DoubleMuOpen_Centrality_30_100_BptxAND,0,1,1
294,L1_DoubleMuOpen_Centrality_40_100_BptxAND,0,1,1
295,L1_DoubleMuOpen_Centrality_50_100_BptxAND,0,1,1
305,L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND,0,1,1
306,L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND,0,1,1
307,L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND,0,1,1
308,L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND,0,1,1
309,L1_SingleMu3_SingleJet28_MidEta2p7_BptxAND,0,1,1
310,L1_SingleMu3_SingleJet32_MidEta2p7_BptxAND,0,1,1
311,L1_SingleMu3_SingleJet40_MidEta2p7_BptxAND,0,1,1
320,L1_SingleMuOpen_SingleEG15_BptxAND,0,1,1
321,L1_SingleMu3_SingleEG12_BptxAND,0,1,1
322,L1_SingleMu3_SingleEG20_BptxAND,0,1,1
323,L1_SingleMu3_SingleEG30_BptxAND,0,1,1
324,L1_SingleMu5_SingleEG10_BptxAND,0,1,1
325,L1_SingleMu5_SingleEG12_BptxAND,0,1,1
326,L1_SingleMu5_SingleEG15_BptxAND,0,1,1
327,L1_SingleMu5_SingleEG20_BptxAND,0,1,1
328,L1_SingleMu7_SingleEG7_BptxAND,0,1,1
329,L1_SingleMu7_SingleEG10_BptxAND,0,1,1
330,L1_SingleMu7_SingleEG12_BptxAND,0,1,1
331,L1_SingleMu7_SingleEG15_BptxAND,0,1,1
332,L1_SingleMu12_SingleEG7_BptxAND,0,1,1
352,L1_SingleMuCosmic_BptxAND,0,1,1
353,L1_SingleMuCosmic_NotMinimumBiasHF2_OR_BptxAND,0,1,1
354,L1_SingleMuOpen_NotMinimumBiasHF2_OR_BptxAND,0,1,1
355,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_OR_BptxAND,0,1,1
356,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_BptxAND,0,1,1
357,L1_DoubleMuCosmic_BptxAND,0,1,1
358,L1_SingleEG3_NotMinimumBiasHF2_OR_BptxAND,0,1,1
360,L1_SingleMuOpen_NotMinimumBiasHF2_AND_BptxAND,0,1,1
361,L1_SingleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,0,1,1
362,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_AND_BptxAND,0,1,1
363,L1_DoubleMuOpen_NotMinimumBiasHF2_AND_BptxAND,0,1,1
364,L1_DoubleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,0,1,1
365,L1_DoubleMu0_NotMinimumBiasHF2_AND_BptxAND,0,1,1
376,L1_ZDC1nOR_BptxAND,0,0,0
377,L1_ZDC1nXOR_MinimumBiasHF1_AND_BptxAND,0,0,0
378,L1_ZDC1nXOR_MinimumBiasHF2_AND_BptxAND,0,0,0
392,L1_DoubleEG1_NotMinimumBiasHF2_AND_BptxAND,0,1,1
393,L1_DoubleEG2_NotMinimumBiasHF2_AND_BptxAND,0,1,1
394,L1_DoubleEG3_NotMinimumBiasHF2_AND_BptxAND,0,1,1
395,L1_DoubleEG5_NotMinimumBiasHF2_AND_BptxAND,0,1,1
396,L1_SingleEG2_NotMinimumBiasHF2_AND_BptxAND,0,1,1
397,L1_SingleEG3_NotMinimumBiasHF2_AND_BptxAND,0,1,1
398,L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND,0,1,1
399,L1_SingleEG2_NotMinimumBiasHF2_AND_ZDC1nOR_BptxAND,0,0,0
408,L1_Centrality_0_0p5_BptxAND,0,1,1
409,L1_Centrality_0_1_BptxAND,0,1,1
410,L1_Centrality_30_50_BptxAND,0,1,1
432,L1_MuShower_OneTight,0,1,1
433,L1_MuShower_OneNominal,0,1,1
434,L1_MuShower_OneTight_BptxAND,0,1,1
435,L1_MuShower_OneNominal_BptxAND,0,1,1
456,L1_MinimumBiasHF1_AND_BptxAND,0,1,1
457,L1_MinimumBiasHF1_OR_BptxAND,0,1,1
458,L1_MinimumBiasHF2_AND_BptxAND,0,1,1
459,L1_MinimumBiasHF2_OR_BptxAND,0,1,1
480,L1_ZDC1nOR_MinimumBiasHF1_AND_BptxAND,0,0,0
481,L1_ZDC2nOR_MinimumBiasHF1_AND_BptxAND,0,0,0
482,L1_ZDC3nOR_MinimumBiasHF1_AND_BptxAND,0,0,0
483,L1_ZDC1nAND_MinimumBiasHF1_AND_BptxAND,0,0,0
484,L1_ZDC1nOR_MinimumBiasHF2_AND_BptxAND,0,0,0
485,L1_ZDC2nOR_MinimumBiasHF2_AND_BptxAND,0,0,0
486,L1_ZDC3nOR_MinimumBiasHF2_AND_BptxAND,0,0,0
487,L1_ZDC1nAND_MinimumBiasHF2_AND_BptxAND,0,0,0
