Index,Name,Emergency,2.2E+34,2E+34,1.7E+34,1.5E+34,1.3E+34,1.1E+34,9E+33,6E+33
291,L1_SingleJet56_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
292,L1_SingleJet60_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
293,L1_SingleJet64_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
295,L1_SingleJet8_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
296,L1_SingleJet16_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
297,L1_SingleJet24_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
298,L1_SingleJet28_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
299,L1_SingleJet32_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
300,L1_SingleJet36_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
301,L1_SingleJet40_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
302,L1_SingleJet44_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
303,L1_SingleJet48_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
304,L1_SingleJet56_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
305,L1_SingleJet60_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
306,L1_SingleJet64_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
308,L1_SingleJet8_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
309,L1_SingleJet16_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
310,L1_SingleJet28_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
311,L1_SingleJet36_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
312,L1_SingleJet44_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
313,L1_SingleJet56_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
314,L1_SingleJet64_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
316,L1_SingleJet8_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
317,L1_SingleJet16_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
318,L1_SingleJet28_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
319,L1_SingleJet36_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
320,L1_SingleJet44_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
321,L1_SingleJet56_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
322,L1_SingleJet64_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
344,L1_SingleEG3_BptxAND,0,1,1,1,1,1,1,1,1
345,L1_SingleEG5_BptxAND,0,1,1,1,1,1,1,1,1
346,L1_SingleEG7_BptxAND,0,1,1,1,1,1,1,1,1
347,L1_SingleEG12_BptxAND,0,1,1,1,1,1,1,1,1
348,L1_SingleEG15_BptxAND,0,1,1,1,1,1,1,1,1
349,L1_SingleEG21_BptxAND,0,1,1,1,1,1,1,1,1
350,L1_SingleEG30_BptxAND,0,1,1,1,1,1,1,1,1
352,L1_SingleIsoEG3_BptxAND,0,1,1,1,1,1,1,1,1
353,L1_SingleIsoEG7_BptxAND,0,1,1,1,1,1,1,1,1
354,L1_SingleIsoEG12_BptxAND,0,1,1,1,1,1,1,1,1
355,L1_SingleIsoEG15_BptxAND,0,1,1,1,1,1,1,1,1
356,L1_SingleIsoEG21_BptxAND,0,1,1,1,1,1,1,1,1
359,L1_SingleEG2_NotMinimumBiasHF2_AND_BptxAND,1,1,1,1,1,1,1,1,1
360,L1_SingleEG3_NotMinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
361,L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
363,L1_SingleEG3_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
364,L1_SingleEG7_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
365,L1_SingleEG15_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
366,L1_SingleEG21_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
373,L1_SingleEG5_SingleJet28_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
374,L1_SingleEG5_SingleJet32_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
375,L1_SingleEG5_SingleJet40_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
376,L1_SingleEG7_SingleJet32_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
377,L1_SingleEG7_SingleJet40_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
378,L1_SingleEG7_SingleJet28_MidEta2p7_MinDr0p4_BptxAND,0,1,1,1,1,1,1,1,1
379,L1_SingleEG7_SingleJet44_MidEta2p7_MinDr0p4_BptxAND,0,1,1,1,1,1,1,1,1
380,L1_SingleEG7_SingleJet56_MidEta2p7_MinDr0p4_BptxAND,0,1,1,1,1,1,1,1,1
381,L1_SingleEG7_SingleJet60_MidEta2p7_MinDr0p4_BptxAND,0,1,1,1,1,1,1,1,1
382,L1_SingleEG12_SingleJet32_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
383,L1_SingleEG12_SingleJet40_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
388,L1_SingleEG15_SingleJet28_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
389,L1_SingleEG15_SingleJet44_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
390,L1_SingleEG15_SingleJet56_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
391,L1_SingleEG15_SingleJet60_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
392,L1_SingleEG15_SingleJet28_MidEta2p7_MinDr0p4_BptxAND,0,1,1,1,1,1,1,1,1
393,L1_SingleEG15_SingleJet44_MidEta2p7_MinDr0p4_BptxAND,0,1,1,1,1,1,1,1,1
394,L1_SingleEG15_SingleJet56_MidEta2p7_MinDr0p4_BptxAND,0,1,1,1,1,1,1,1,1
395,L1_SingleEG15_SingleJet60_MidEta2p7_MinDr0p4_BptxAND,0,1,1,1,1,1,1,1,1
398,L1_DoubleEG8_BptxAND,0,1,1,1,1,1,1,1,1
399,L1_DoubleEG10_BptxAND,0,1,1,1,1,1,1,1,1
401,L1_DoubleEG1_NotMinimumBiasHF2_AND_BptxAND,1,1,1,1,1,1,1,1,1
402,L1_DoubleEG2_NotMinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
403,L1_DoubleEG3_NotMinimumBiasHF2_AND_BptxAND,1,1,1,1,1,1,1,1,1
404,L1_DoubleEG5_NotMinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
